userid,title,estatetype,address,ward,district,city,area,price,description,roomnum,restroom,electricity,water,wifi,ultility,rented,created,updated,expired
2,"Vị trí kinh doanh ngõ 66 Ngọc Lâm, 100m2, 10.6 tỷ",1,Đường Ngọc Lâm,Phường Ngọc Lâm,Quận Long Biên,Hà Nội,100.0,1060000.0,"Bạn muốn có một vị trí kinh doanh cực tốt, trên trục chính khu dân cư lớn mà chi phí thấp
Bạn muốn một diện tích rộng, sẵn nhà, sẵn vị trí cửa hàng buôn bán tấp nập
Bạn muốn cửa hàng mình trong một khu dân cư sầm uất với đời sống cao, 
Chúng tôi đang có

Nhà 100m2 mặt ngõ phố, ngõ chính thẳng tắp của phố Ngọc Lâm, đường trải nhựa ô tô tránh
Vị trí trung tâm, kinh doanh tấp nập nhất trong khu phố
Vỉa hè hai bên, tiện lợi cho khách hàng tạm dừng chân mua bán
Nhà 4 tầng, 70m2, thêm cửa hàng 30m2 phía trước nhà.
Chờ đợi người có nhiệt huyết, có sức trẻ kinh doanh khai thác hết công năng của tầng 1
Nằm trên trục dân cư lớn nối phố Ngọc Lâm với phố Nguyễn Văn Cừ
Nhà xây thoáng trước và thoáng sau

Giá 10.6 tỷ, có thương lượng
Liên hệ A Thắng để được hỗ trợ miễn phí
Miễn TG và QC",2,riêng,2000,8000,natB,hasagi,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-18 21:44:00.231969
2,"Bán nhà 5 tầng sổ đỏ chính chủ, full nội thất",1,Đường Tả Thanh Oai,Xã Tả Thanh Oai,Huyện Thanh Trì,Hà Nội,30.0,21000.0,"Dự án: Nhà Liền Kề Tả Thanh Oai.
          Thông tin chi tiết: Tầng 1: nhà để xe, bếp, phòng ăn, vs
Tầng 2: Phòng Khách, vs
Tầng 3,4:  mỗi tầng 2 phòng ngủ, vs
Tầng 5: phòng thờ, sân phơi",2,chung,2000,9000,Có là được,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-17 21:44:00.231969
2,"Mặt ngõ ô tô, Hoàng Liệt, 52m2 5 tầng 4.35 tỷ!",1,Đường Tứ Kỳ,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,52.0,435000.0,"NHÀ MỚI ĐẸP LONG LANH – 2 THOÁNG - NGÕ Ô TÔ – NGÕ THÔNG - GẦN HỒ LINH ĐÀM – GẦN BẾN XE NƯỚC NGẦM.
MÔ TẢ: 
+ Diện tích: 52m2, nhà xây 5 tầng, mặt tiền rộng đẹp 4.2m. Thửa đất thông số vàng.
+ Nhà 5 tầng mới tinh, thiết kế hiện đại, nội thất đẹp, thiết kế mỗi tầng 2 phòng, khách mua chỉ việc mua vào ở luôn. Nhà thiết kế 2 thoáng nên các phòng rất thông thoáng.
+ Thiết kế:
- Tầng 1: Phòng khách, phòng bếp, WC.
- Tầng 2: Tầng Lửng.
- Tầng 3,4: Mỗi tầng 2 phòng rộng + WC.
- Tầng 5: Phòng thờ và sân phơi.
+ Vị trí đẹp, ngõ ô tô, ngõ thông tứ tung, gần Bến xe Nước Ngầm, gần Hồ Linh Đàm, gần Ngã tư: Giải Phóng - Pháp Vân - Ngọc Hồi - Hoàng Liệt…, giao thông đi lại cực kỳ thuận tiện.
+ Nhà ở khu dân cư cơ sở hạ tầng tốt, dân trí thân thiện, an ninh tốt, tiện ích rất tốt.
+ Sổ đỏ chính chủ, sẵn sàng giao dịch.
+ Giá: 4.35 tỷ (Có thương lượng).
Liên hệ: Mr Phong.",1,chung,2000,8000,Ổn định,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-03 21:44:00.231969
1,"Bán đất Thuỵ Hà Bắc hồng, 3 mặt thoáng",0,thụy hà,Xã Bắc Hồng,Huyện Đông Anh,Hà Nội,46.8,100000.0,"Dự án: Bán đất Thuỵ Hà Bắc hồng, đường làng thông khu biệt thự Long việt .
          Thông tin chi tiết: Đất thổ cư thụy hà ,cách đường làng 8m.trục làng 2 otto tránh nhau .đầu đường làng đường conter 2 chiều đi được cuối đường đâm ra khu biệt thự long việt , sắp tới sẽ trải nhựa , 
ngõ trước đất 2m5 đất có 3 mặt thoáng ,thích hợp đầu tư hoặc xây ở
cách chợ 50m ,cách nhà văn hóa 100m 
chính chủ , k môi giới 
diện tích 46.8 hướng nam
Alo trực tiếp",2,chung,2000,11000,natD,Gần trại giam,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-24 21:44:00.231969
1,BÁN NHÀ MẶT PHỐ BÁT KHỐI - LONG BIÊN,1,Bát khối,Phường Long Biên,Quận Long Biên,Hà Nội,40.0,710000.0,"Bán nhà mặt phố Bát Khối đẹp long lanh, vỉa hè rộng, thoáng kinh doanh đỉnh
-Diện tích :40m2 x 5 tầng
-Mặt tiền: 4m
Gía: 7.1 tỷ
-Vị trí trung tâm, gần cầu Vĩnh Tuy, Chương Dương, Aeon Long Biên
-Vài Phút sang bờ hồ, phố cổ, sang quận Hai Bà Trưng
-Long Biên giờ đang rất phát triển, xây xong cầu Trần Hưng Đạo, cầu Vĩnh Tuy giai đoạn 2 thì giá trị nhà sẽ tăng lên nhiều
-Thiết kế thông sàn, mỗi tầng 1 phòng, có gara ô tô
Sổ đỏ chính chủ vuông vức, sẵn sàn giao dịch",2,chung,2000,10000,Có là được,Bến xe bus,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-18 21:44:00.231969
1,Bán căn hộ B1B2 tây nam linh đàm 2 ngủ 76m,3,linh đam,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,67.0,193000.0,"Bán gấp căn hộ B1B2 HUD2 tây nam linh đàm
Diện tích 67m thông thủy
đã có sổ
Full nội thất
Giá 1930 triệu",1,chung,2000,9000,natD, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-18 21:44:00.231969
2,Nhà mặt đường phạm văn đồng,1,Đường Phạm Văn Đồng,Phường Mai Dịch,Quận Cầu Giấy,Hà Nội,200.0,4200000.0,"Thiết kế hiện đại, thang máy nhập khẩu, giấy phép xây dựng, phòng cháy, hệ thống full điều hoà các phòng, nhà hoàn thiện năm 2020. 
Xây 8 tầng 120 m2 còn lại 80 m ngoài sổ chủ xây một tầng ở. 
Nhà hiện Cho thuê trọn gói 95 triệu/ tháng trợ giá thời covit 75 triệu/ tháng. Năm thứ 3 tăng 10% hợp đồng 5 năm. 
Tự khai thác 145 triệu/ tháng.
Pháp lý: Sổ đỏ 120 m2 đẹp nở hậu 
80 m2 ngoài đóng thuế đất đầy đủ khách mới chủ hỗ trợ làm sổ phút mốt chủ không có nhu cầu. 

- Tầng 1: Thiết kế thông sàn, WC, để xe, khu gia đình ở. 
- Tầng 2- 7: Thiết kế mỗi tầng 2 phòng, cầu thang, WC giữa.
- Tầng 8: Phòng thờ, sân thượng rộng thênh thang.",2,không có,3000,10000,Có là được,Bến xe bus,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-29 21:44:00.231969
1,Cực phẩm đất Thanh Am kinh doanh đỉnh 43m2 giá 4tỷ,0,Đường Thanh Am,Phường Thượng Thanh,Quận Long Biên,Hà Nội,43.0,400000.0,"Vị trị hiếm
_Gần cấp 1,mẫu giáo
_giao thông thuận tiện..3 ô tô đua,bước 3 bước ra phố Ngô Gia Tự
_thoáng mát có nơi tập thể dục sang va tối
_dân trí cao",1,không có,2000,8000,Ổn định, gần BV tâm thần kinh,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-12 21:44:00.231969
2,LÔ GÓC DOÃN KẾ THIỆN-7T-45M2-THANG MÁY-OTO VÀO NHÀ,1,Đường Doãn Kế Thiện,Phường Mai Dịch,Quận Cầu Giấy,Hà Nội,45.0,750000.0,"Tuyệt phẩm nhà phố - Bán nhà chính chủ tại phố DOÃN KẾ THIỆN- hiện chỉ có 1 căn   đẹp   khu do chủ nhà là văn nghệ sĩ xây rất tâm đắc bán vào thời điểm này có 102 bán với giá quá ok
❤ DT 45m2 , 6 TẦNG 1 tum , thang máy , NHÀ MẶT NGÕ OTO TRÁNH NHAU, KINH DOANH SẦM UẤT, căn siêu phẩm này lại nằm ngay trên tuyến phố Mai Dịch - Quận Cầu Giấy.
❤️ Mô tả ngôi nhà : 
- Diện tích : 45m2 
- Mặt tiền : 5m 
- Hướng  : Đông nam 
❤️ Thiết kế Tây Âu, tràn ngập ánh sáng tự nhiên
👉   Tầng 1: Kinh doanh GARA OTO + WC
👉 Tầng 2: Khách+ bếp + Wc
👉 Tầng 3+4+ 5   : mỗi tầng 2 Phòng Ngủ Rộng Rãi +wc khép kín
👉 Tầng 6 : phòng thờ sân phơi rộng
 💰 Giá : 7,5 tỷ ( có thương lượng )
✅ Vị trí vô cùng đắc địa, gần các trung tâm mua sắm tiện ích, gần bến xe, các ngân hàng, phòng gym, gần chợ gần trường Cao Đẳng Cơ Điện, nhà Hát Kịch Quân Đội, trường Sân Khấu Điện Ảnh, Đại Học Thương Mại.
😍 An ninh trật tật đảm bảo, nhà thuộc khu dân trí cao, ở vô cùng yên tâm
😍 Hơn nữa, nhà chủ tự xây để ở nên vô cùng chắc chắn, kiên cố.
😍 Móng ép cọc, khung bê tông, tất cả vật liệu xây dựng đều có chất lượng hàng đầu.
😍 Toàn bộ cửa, tủ bếp, cầu thang, vách ngăn, sàn gỗ đều do 1 tay chủ nhà tự thiết kế và lựa chọn từng loại gỗ ốp toàn bộ nhà hết sức tỉ mỉ.
* Hỗ trợ vay vốn ngân hàng tới 80% giá trị nhà với lãi suất cạnh tranh chỉ 0,58 %",1,riêng,3000,9000,Ổn định,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-04 21:44:00.231969
1,"Mặt phố,Trần Đăng Ninh,Hà Đông,KD Café,VP,Spa.",1,Đường Trần Đăng Ninh,Phường Quang Trung,Quận Hà Đông,Hà Nội,52.0,600000.0,"Nhỉnh 6 tỷ,Tòa nhà,mặt phố,Trần Đăng Ninh,Hà Đông,KD Café,Văn Phòng,Spa.
Gia đình mua nhà biệt thự Nam Cường thiếu tiền bán gấp căn nhà mặt phố,vị trí đẹp nhất tuyến phố Trần Đăng Ninh,Hà Đông.đường trước nhà 18m,vỉa hè 2 bên,Nhà Diện tích 52m,mặt tiền 5m,5 tầng, sổ vuông,không lỗi phong thủy.nhà chủ tâm huyết thiết kế để ở nên xây dựng chắc chắn,kiến đẹp,nội thất cao cấp,xây dựng có tính toán phong thủy cẩn thận.Nhà thiết kế thông sàn,công năng phù hợp,kinh doanh café,nhà hàng,spa,văn phòng,trung tâm ngoại ngữ,an sinh cao cấp.
Giá bán nhỉnh 6 tỷ. Khách có nhu cầu gọi ngay cho A.Đạt (thổ) ĐT:0979.111165.Miễn MG+QC",3,chung,3000,8000,Có là được,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-17 21:44:00.231969
2,"Bán nhà 2 tầng, ngõ 78 Giải phóng DTSD 33m",1,Đường Giải Phóng,Phường Phương Mai,Quận Đống Đa,Hà Nội,33.0,300000.0,"Bán nhà chính chủ 2 tầng ngõ 78 Giải phóng, diện tích sổ đỏ 27,8 m2, diện tích thực sử dụng 33m2. Nhà có 3 mặt thoáng. Mặt tiền rộng 5,3m, hướng Nam. Giá 3 tỷ.
Vị trí ngõ 78 Giải phóng, mặt trước thoáng đối diện Tổng cục quản lý đất đai. Ngõ rộng 7m, ô tô quay đầu, sầm uất.
Khu dân trí cao, an ninh đảm bảo do đối diện cơ quan nhà nước bảo vệ 24/7.
Ngõ thông, cách mặt đường Giải Phóng 40m, Trường Chinh 150m.

Tiện ích xung quanh:
- Cách chợ dân sinh 30m.
- Gần các Bệnh viện: Tai Mũi Họng, Bạch Mai, Việt Pháp.
- Gần các Trường học: Trường Tiểu học Phương Mai, trường PTTH Kim Liên, Đại học Xây Dựng, Bách Khoa, Kinh Tế Quốc Dân.
- Có thể đi bộ đến Công viên Thống nhất",3,riêng,2000,11000,Ổn định,Gần trại giam,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-14 21:44:00.231969
2,Bán nhà mặt hồ linh đàm,1,Đường Hoàng Liệt,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,70.0,300000.0,"Bán nhà mặt hồ linh đàm thông tin như trên. Có thương lượng - tiếp môi giới 
Vui lòng gọi trước khi qua 1 tiếng",3,chung,3000,9000,Có là được,Bến xe bus,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-19 21:44:00.231969
2,"Nhà 3T Vĩnh Ninh,Vĩnh quỳnh ô tô đỗ giá chỉ 1.78ty",1,Vĩnh Ninh,Xã Vĩnh Quỳnh,Huyện Thanh Trì,Hà Nội,42.0,178000.0,"Gia đình không có nhu cầu sử dụng cần bán căn nhà 3 tầng tại VĨNH NINH ,VĨNH QUỲNH thiết kế hiện đại ,xây dựng chắc chắn 
chắn
Dt:42 m2
Mt:3.6m
Ngõ:2.5
Hướng:tây bắc
THIẾT KẾ:GỒM 3PN+1PK+PB+3WC
Khu vực đông dân cư,thuận tiện đi lại sang HÀ ĐÔNG VÀ QL1A
hàng xóm gần gũi , thân thiện ,không khí trrong lành
Bán kính 300m trường học c1,c2,chợ
Cách bx nước ngầm ,giáp bát :5km
Pháp lí:sổ đỏ chính chủ
Giá:1.78 tỷ
Lh: E NHUNG",2,riêng,3000,8000,Có là được,Bến xe bus,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-18 21:44:00.231969
2,"Bán 83m2 MT 6,2m đường 3,5m Tằng Mi, Nam Hồng, ĐA",0,Đường Tằng Mi,Xã Nam Hồng,Huyện Đông Anh,Hà Nội,83.6,209000.0,"Cần bán 83,6m2 đất Tằng Mi, Nam Hồng, Đông Anh. 
* Mặt tiền 6,2m. Dài 14m đường thông rộng 3,5m. Cách chợ xã 500m. Đất nằm ở vị trí đông dân cư, trường học các cấp. Cách đường Võ Nguyên Giáp 4km.. Di chuyển ra khu công nghiệp Bắc Thăng Long và KCN Quang Minh 7km. Di chuyển lên sân bay Nội Bài mất
15p. Giá rẻ 25 triệu/m2
Liên hệ em xem đất.",1,không có,2000,10000,natD,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-20 21:44:00.231969
1,chính chủ cần bán nhà mới xây 6 tầng thang máy,1,Đường Ngọc Thụy,Phường Ngọc Thụy,Quận Long Biên,Hà Nội,47.0,765000.0,"Chính chủ cần bán nhà 6 tầng thang máy mới xây, ô tô vào nhà Ngọc Thụy - Long Biên, TP Hà Nội. mặt đường nhựa
DT: 50m2, MT: 4.8m, Hướng tây tứ trạch.
Sổ đỏ chính chủ, vị trí đắc địa ở hoặc làm văn phòng kinh doanh đều được,...
Gần chợ, trường học quốc tế, khu đô thị...
Tầng 1 gara, wc.
Tầng 2: Phòng khách wc.
Tầng 3,4: mỗi tầng 1 phòng ngủ rộng wc.
Tầng 5: Wc có 2 phòng ngủ nhỏ.
Tầng 6: Bếp ban công, sân phơi.
Giá: 7.65 tỷ.",1,không có,2000,8000,natB,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-17 21:44:00.231969
2,NHÀ NGUYỄN ĐỔNG CHI-5T-40M2-OTO ĐỖ CỔNG-FULL NT,1,Đường Nguyễn Đổng Chi,Phường Cầu Diễn,Quận Nam Từ Liêm,Hà Nội,40.0,390000.0,"💞BÁN GẤP NHÀ NGUYỄN ĐỔNG CHI - 5T- XÂY MỚI CỰC KỲ CHẮC CHẮN - 40M2 - OTO ĐỖ CỔNG - THIẾT KẾ HIỆN ĐẠI - FULL NỘI THẤT TỪ A-Z
 ✍️MÔ TẢ CHI TIẾT :
- Diện tích : 40m2 
- Mặt tiền : 3.5m
- Pháp lý : sđcc
- Giá : 3.9 tỷ ( bao phí sang tên ) 
 ✍️Thiết kế 5 tầng bao gồm : 
Tầng 1 : phòng bếp + khách + wc
Tầng 2 + 3 +4 : mỗi tầng 2 phòng ngủ + 1 wc
Tầng 5 : phòng thờ + sân phơi 
 ✍️ Nội thất bao gồm : bếp , tủ , giường , điều hòa , bàn ghế , a-z, .... khách chỉ cần đến ở 
💞 Vị trí vô cùng đắc địa ngay sát vinhome Hàm Nghi, được hưởng chọn tiện ích của vin ,ngoài ra bệnh viện, trường học, chợ, siêu thị, quán xá ngay cổng nhà.
👉 An ninh trật tật đảm bảo, nhà thuộc khu dân trí cao, toàn cán bộ ngân hàng, công an, giáo viên nên quý khách mua ở thì quá yên tâm.
👉 Nhà chủ xây để ở nên vô cùng chắc chắn, kiên cố. Móng ép cọc, khung bê tông, tất cả vật liệu xây dựng đều có chất lượng hàng đầu.
👉 Toàn bộ cửa, tủ bếp, cầu thang, vách ngăn, sàn gỗ đều do 1 tay chủ nhà tự thiết kế và lựa chọn từng loại gỗ hết sức tỉ mỉ.
* Hỗ trợ vay vốn ngân hàng tới 80% giá trị nhà với lãi suất cực thấp",4,không có,2000,8000,natD, gần BV tâm thần kinh,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-17 21:44:00.231969
1,"Căn hộ Rice city Linh Đàm 68, SĐCC, còn vay 500tr",3,Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,68.0,110000.0,"Bán gấp căn hộ 68m Rice city Linh Đàm Hà Nội.
- DT 68m
- Thiết kế 2 ngủ 2 vệ sinh.
- Nhà nguyên bản
- Giá 1,6 tỷ không bao sang tên, hiện còn 500tr gói vay 30k tỷ lãi suất 5% nên chỉ cần 1,1 tỷ là sở hữu ngay căn hộ.
- Đã có sổ.",1,riêng,2000,11000,natB,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-02 21:44:00.231969
2,Bán nhà TT tầng 1 Chùa Láng 1850tr,1,Đường Chùa Láng,Phường Láng Thượng,Quận Đống Đa,Hà Nội,55.0,185000.0,"Cần bán nhà căn hộ tập thể tầng 1 (Cục dự trữ quốc gia) phố Chùa láng.DTSD 55m2 gồm 3 phòng,phụ bếp khép kín nhà gần trường ĐH ngoại thương,viện nhi khu trung tâm,tiện đi lại",1,riêng,3000,10000,Nhanh hơn cách người yêu cũ trở mặt, gần BV tâm thần kinh,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-22 21:44:00.231969
1,Bán Nhà Phân Lô Vip - Vĩnh Phúc - Cống Vị -Ba Đình,1,Đường Vĩnh Phúc,Phường Cống Vị,Quận Ba Đình,Hà Nội,39.0,490000.0,"SIÊU HIẾM - Ô TÔ ĐỖ CỔNG
PHÂN LÔ - 101 VĨNH PHÚC - BA ĐÌNH - 5 MÉT RA Ô TÔ TRÁNH - NGÕ THÔNG KHẮP NGẢ- KD ONLINE, Ở QUÁ ĐỈNH. 
@ Thông số :
Diện Tích : 39m
Cấu Trúc : 4 tầng
Mặt tiền : 4.75m
Hướng nhà : Nam
Giá : 4.9 tỷ ( Thương Lượng
@ MÔ TẢ:
- Nhà nằm ở vị trí cực đẹp. Cách mặt phố Vĩnh Phúc 10m, cách ô tô tránh 5m ô tô tránh, dừng đỗ ngày đêm, ngõ thông khắp ngả. 
- Nhà nằm trong khu phân lô cho cán bộ giáo viên Ba Đình dân trí cực cao.
- Nhà khung cột cực chắc thêm nước sơn là như mới.
@ Thiết kế :
+ Tầng 1: phòng khách, nhà để xe, bếp và vs riêng biệt.
+ T2,3 mỗi tầng 1 phòng ngủ rộng, 1 ngủ nhỏ và vệ sinh.
+ T4 phòng thờ và sân phơi cực rộng.
@ Pháp Lý :
- Sổ đỏ chính chủ Vuông, sẵn sàng giao dịch.",4,riêng,3000,9000,natD,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-19 21:44:00.231969
2,Bán nhà Nguyễn Trãi Thanh Xuân 45m2 gần ĐH Hà Nội,1,Đường Nguyễn Trãi,Phường Thanh Xuân Nam,Quận Thanh Xuân,Hà Nội,45.0,410000.0,"Nhà đường Nguyễn Trãi quận Thanh Xuân
DT 45m2, 4 tầng, 4 ngủ, chủ mới xây 2018 năm còn mới tinh
Vị trí đẹp, cách mặt đường ô tô tránh 20m, trước nhà sân chơi, vườn hoa
Khu vực hạ tầng tốt gần các phố Lương Thế Vinh - Triều Khúc - Trần Phú
Sổ đỏ chính chủ. Giá 4.1 tỷ có thương lượng
Liên hệ Mr Mạnh để sở hữu ngôi nhà ưng ý",1,chung,2000,11000,Nhanh hơn cách người yêu cũ trở mặt,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-18 21:44:00.231969
1,LÔ GÓC XUÂN ĐỈNH-6T-45M2-OTO VÀO NHÀ -NGÕ THÔNG,1,Đường Xuân Đỉnh,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,Hà Nội,45.0,460000.0,"Chính chủ cần bán gấp, căn nhà 6 tầng,lô góc,45m2, full nội thất , oto vào nhà , ngõ thông , kd tốt , ngay sát khu ngoại giao đoàn, công viên hoà bình, khu đại sứ quán hàn quốc.
🛑Mô tả chi tiết : 
👉 Diện tích : 45 m2.
👉 Mặt tiền : 4m
👉 Pháp lý : sổ đỏ ,giấy phép xd, hs thiết kế..
👉 Giá bán : 4.6 tỷ có gia lộc và bao sang tên.
🏦Thiết kế 5 tầng bao gồm : 
👉 Tầng 1: để oto+ bếp
👉 Tầng 2 : phòng bếp + wc lớn
👉 Tầng 3,4,5: mỗi tầng 2 phòng ngủ,vệ sinh.
👉 Tầng 6 : phòng thờ + sân phơi .
❌❌ Thiết kế xây dựng hiện đại , mang đậm phong cách châu âu tất cả các phòng đều có cửa sổ thông thoáng đón ánh sáng trực tiếp rất tốt cho sức khoẻ.
❌❌ Vị trí nhà vô cùng đắc địa ngay khu ngoại giao đoàn,thông ra công viên hoà bình, khu đại sứ quán hàn quốc, cách đường xuân đỉnh 100 m , đầy đủ các tiện ích từ trường, chợ, công viên, phòng tập,...
❌❌ HỖ TRỢ TÀI CHÍNH LÊN ĐẾN 75% GIÁ TRỊ NHÀ VỚI LS CỰC THẤP.",4,không có,3000,9000,Nhanh hơn cách người yêu cũ trở mặt,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-30 21:44:00.231969
1,"THÁI HÀ, DT 42M, MT 4.2M, 5 TẦNG, 4.2 TỶ, ĐẸP HIẾM",1,Đường Thái Hà,Phường Trung Liệt,Quận Đống Đa,Hà Nội,42.0,42000.0,"BÁN NHÀ MẶT NGÕ CÁCH PHỐ THÁI HÀ VÀI BƯỚC CHÂN, NHÀ XÂY ĐƯỢC 5 NĂM CÒN NHƯ MỚI, CHỦ NHÀ MUA NHÀ BIỆT THỰ CẦN BÁN.
 + Nhà DT 42m, mặt tiền 5m, xây chắc chắn và cực đẹp, cách phố Thái Hà, tuyến phố Vip chỉ vài bước chân.
 + 5 tầng, thiết kế đầy đủ không thiếu gì, khách mua chỉ việc ở ngay.
 + Sổ cất két, pháp lý sạch sẽ.
 + Giá 4.2 tỷ, giá tốt so với thị trường khi mua được căn nhà thông số đẹp ở khu trung tâm.
Anh chị cần xem nhà xin liên hệ Thái Minh, cảm ơn anh chị.",4,không có,2000,11000,natB,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-15 21:44:00.231969
2,"Mặt phố view hồ Trúc Bạch, 45m2, 5 tầng, chỉ 19 ty",1,Đường Trấn Vũ,Phường Trúc Bạch,Quận Ba Đình,Hà Nội,45.0,1950000.0,"SIÊU PHẨM MẶT HỒ TRÚC BẠCH, 45M2, 5 TẦNG, VỈA HÈ 2 BÊN, KHU VỰC CỰC HIẾM NHÀ BÁN.

+ Nhà mặt phố vỉa hè 2 bên cực đẹp, đối diện là hồ Trúc Bạch thoáng mát, vô cùng sướng và đẳng cấp khi ở phố này.

+ Thiết kế đủ 5 tầng:
- Tầng 1: Làm bếp khách. 
- Tầng 2+3+4: 5 phòng ngủ to. Tầng 5 là phòng thờ. 

📕 Pháp Lý sổ đỏ chính chủ, siêu đẹp nở hậu, sẵn sàng giao dịch.

💰 Giá chào bán : 19.5 tỷ.

☎️ Liên hệ xem Nhà : Mr. Lợi ( Hỗ trợ hoàn toàn MIỄN PHÍ từ xem Nhà, tư vấn Pháp lý, Hỗ trợ thủ tục Ngân hàng... ).",4,chung,2000,10000,Ổn định,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-13 21:44:00.231969
1,Bán nhà mới xây Xuân Đỉnh - 30x5T - Giá 2.95Tỷ,1,Đường Xuân Đỉnh,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,Hà Nội,30.0,295000.0,"Mô tả:
-  Nhà vừa hoàn thiên 2 căn diện tích 30m2x5Tang, thiết kế phong cách nhà phố hiện đại. Ngõ trước nhà rất rộng oto lướt, cách phố xuân đỉnh khoảng 50m, cách đường Phạm Văn Đồng khoảng 100m, gần  trường đại học tài chính, bệnh viện Nam Thăng Long, Khu đô thị Ciputra...
- Thiết kế:
+ Tầng 1: Khách, bếp.
+ Tầng 2,3,4: 3 phòng ngủ, WC
+ Tầng 5: Phòng thờ, sân phơi.
Sổ đỏ đẹp chủ cất ở nhà.",2,riêng,2000,9000,Có là được,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-07 21:44:00.231969
2,Kinh doanh siêu đỉnh KDT Xa La.Hà Đông diện tích,1,Cầu Bươu,Xã Tân Triều,Huyện Thanh Trì,Hà Nội,130.0,1570000.0,"Cần bán gấp nhà cấp 4 mặt PHỐ Hà đông ,KDT XA LA ,THANH TRÌ hiện đang cho thuê cửa hàng tháng 15tr 
Dt;130m2
Mt:4m 
Đường :12m 
Hướng :tây nam 
Khu vực phát triển,buân bán tấp lập,rất thích hợp làm văn phòng ,kho xưởng ,và kinh doanh tất cả các mặt hàng 
Tiện ích xung quanh không thiếu thứ gì ,gần chợ ,trường học c1,c2,..bệnh viện 103 ..
Pháp lí :sổ đỏ chính chủ ,rõ ràng không tranh chấp

Giá :15,7 tỷ 

Lh:em NHUNG",2,riêng,2000,10000,natB, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-10 21:44:00.231969
